event name,instance,start date (DD-MM-YYYY),link,
asia cup,2006,DH,,Din
world's fair,2011,DH,,Din
super tuesday,2006,DH,,Din
world of women's cinema - wow film festival,2012,DH,,Din
gay games,2007,DH,https://en.wikipedia.org/wiki/2006_Gay_Games,Din
music midtown,2011,DH,https://en.wikipedia.org/wiki/Music_Midtown,Din
sun bowl,2009,2009-12-31,https://en.wikipedia.org/wiki/2009_Sun_Bowl,Din
cmj music marathon,2006,2010-10-31,http://www.songkick.com/festivals/31661-cmj-music-marathon/id/766082-cmj-music-marathon-2006,San
national football league draft,2006,2006-04-29,https://en.wikipedia.org/wiki/2006_NFL_Draft,San
shell houston open,2012,2012-03-29,http://www.pga.com/news/local-knowledge/2012-shell-houston-open,San
earth hour,2008,2008-03-29,https://en.wikipedia.org/wiki/Earth_Hour#2008,Din
vivid sydney,2011,2011-05-27,http://www.multivu.com/players/English/50345-Vivid-Sydney-2011/,San
indycar series,2011,2011-03-27,https://en.wikipedia.org/wiki/2011_IndyCar_Series,San
malaysian open,2012,2012-02-27,https://en.wikipedia.org/wiki/2012_Malaysian_Open,San
stanford classic,2011,2011-07-26,https://en.wikipedia.org/wiki/2011_Bank_of_the_West_Classic,Din
scripps national spelling bee,2009,2009-05-26,https://en.wikipedia.org/wiki/82nd_Scripps_National_Spelling_Bee,San
vivid sydney,2009,2009-05-26,http://www.digitaljournal.com/article/273728,San
creamfields,2007,2007-10-25,https://www.residentadvisor.net/event.aspx?21625,San
berlin marathon,2011,2011-09-25,https://en.wikipedia.org/wiki/2011_Berlin_Marathon,San
nba draft,2009,2009-06-25,https://en.wikipedia.org/wiki/2009_NBA_draft,Din
national cherry blossom festival,2006,2006-03-25,http://www.us.emb-japan.go.jp/jicc/japan-now/EJN_vol2_no6.htm,San
creamfields,2012,2012-08-24,https://www.list.co.uk/article/40838-creamfields-2012-line-up-announced/,Din
indianapolis 500,2009,2009-05-24,https://en.wikipedia.org/wiki/2009_Indianapolis_500,San
poinsettia bowl,2010,2010-12-23,https://en.wikipedia.org/wiki/2010_Poinsettia_Bowl,San
international semantic web conference,2011,2011-10-23,http://iswc2011.semanticweb.org/,Din
folsom street fair,2012,2012-09-23,http://sanfrancisco.eventful.com/events/folsom-street-fair-2012-/E0-001-051248254-8,Din
gma dove awards ceremony,2008,2008-04-23,https://en.wikipedia.org/wiki/39th_GMA_Dove_Awards,San
las vegas bowl,2009,2009-12-22,https://en.wikipedia.org/wiki/2009_Maaco_Bowl_Las_Vegas,San
v festival,2009,2009-10-22,https://en.wikipedia.org/wiki/V_Festival#V2009,Din
splendour in the grass,2006,2006-07-22,https://www.setlist.fm/festival/2006/splendour-in-the-grass-2006-7bd6bea0.html,San
aruba international film festival,2012,2012-06-22,http://news.visitaruba.com/news/2012-aruba-international-film-festival-lineup-revealed/,San
anime festival asia,2009,2009-11-21,http://www.greatdeals.com.sg/2009/11/18/anime-festival-asia-2009-afa09-nov-2009,Din
australian film festival,2006,2006-10-21,https://en.wikipedia.org/wiki/Australian_International_Film_Festival,Din
gma dove awards ceremony,2010,2010-04-21,https://en.wikipedia.org/wiki/41st_GMA_Dove_Awards,Din
nba playoffs,2007,2007-04-21,https://en.wikipedia.org/wiki/2006%E2%80%9307_NBA_season,Din
new york international auto show,2008,2008-03-21,https://en.wikipedia.org/wiki/New_York_International_Auto_Show#2008,Din
noise pop festival,2012,2012-02-21,http://2012.noisepop.com/,Din
cmj music marathon,2009,2009-10-20,https://www.last.fm/festival/880317+CMJ+Music+Marathon+&+Film+Festival+2009,Din
national cherry blossom festival,2012,2012-03-20,http://www.nationalcherryblossomfestival.org/about/2012-centennial/,San
film comment selects,2009,2009-02-20,http://filmref.com/notes/archives/2009/01/film_comment_selects_2009_line.html,San
new mexico bowl,2009,2009-12-19,https://en.wikipedia.org/wiki/2009_New_Mexico_Bowl,San
famous idaho potato bowl,2010,2010-12-18,https://en.wikipedia.org/wiki/Famous_Idaho_Potato_Bowl,Din
v festival,2007,2007-10-18,http://www.nme.com/news/music/v-festival-51-1337847,Din
fida animation festival,2009,2009-08-18,http://explorarm.com/festival-de-animacion-fida-2009/,Din
indian premier league,2009,2009-04-18,https://en.wikipedia.org/wiki/2009_Indian_Premier_League,San
new mexico bowl,2011,2011-12-17,https://en.wikipedia.org/wiki/2011_New_Mexico_Bowl,San
waterloo festival for animated cinema,2011,2011-11-17,https://www.ticketscene.ca/events/5392/,San
giscience,2009,2009-11-17,http://www.tandfonline.com/doi/pdf/10.1080/19475680903250715,San
national invitation tournament,2009,2009-03-17,https://en.wikipedia.org/wiki/2009_National_Invitation_Tournament,San
acm symposium on user interface software and technology,2011,2011-10-16,https://uist.acm.org/uist2011/,San
lo nuestro awards,2012,2012-02-16,https://en.wikipedia.org/wiki/Lo_Nuestro_Awards,Din
the proms,2011,2011-07-15,https://en.wikipedia.org/wiki/The_Proms#2011_season,Din
cannes lions international festival of creativity,2008,2008-06-15,http://designtaxi.com/article/100381/55th-Cannes-Lions-International-Advertising-Fest/,San
volta ao algarve,2012,2012-02-15,https://en.wikipedia.org/wiki/2012_Volta_ao_Algarve,Din
24 hours of le mans,2008,2008-06-14,https://en.wikipedia.org/wiki/2008_24_Hours_of_Le_Mans,Din
lewiston auburn film festival,2012,2012-04-14,http://www.guthriesplace.com/events/event/lewiston-auburb-film-festival,San
stanley cup playoffs,2011,2011-04-13,https://en.wikipedia.org/wiki/2011_Stanley_Cup_playoffs,San
cheltenham festival,2009,2009-03-13,https://en.wikipedia.org/wiki/2009_Cheltenham_Gold_Cup,San
nba all-star celebrity game,2009,2009-02-13,https://en.wikipedia.org/wiki/NBA_All-Star_Celebrity_Game,Din
canadian open,2012,2012-12-12,https://en.wikipedia.org/wiki/2012_Canadian_Open_of_Curling,San
home run derby,2010,2010-07-12,https://en.wikipedia.org/wiki/2010_Major_League_Baseball_Home_Run_Derby,Din
national get outdoors day,2010,2010-06-12,http://www.funoutdoors.com/files/GO-Day%202010%20Report%20DAC.pdf,Din
home run derby,2011,2011-07-11,https://en.wikipedia.org/wiki/2011_Major_League_Baseball_Home_Run_Derby,Din
v festival,2010,2010-03-11,https://en.wikipedia.org/wiki/V_Festival#V2010,San
big sky documentary film festival,2011,2011-02-11,http://www.undergroundfilmjournal.com/2011-big-sky-documentary-film-festival-official-slections/,Din
green fest,2009,2009-10-10,https://zoevblog.com/2009/10/22/green-festival-2009-recap/,Din
the players championship,2007,2007-05-10,https://en.wikipedia.org/wiki/2007_Players_Championship,Din
national day parade,2009,2009-10-09,"https://simple.wikipedia.org/wiki/National_Day_Parade,_2009",San
national day parade,2008,2008-10-09,https://www.mindef.gov.sg/imindef/press_room/events_and_activities/2008/09aug08_event.html#.WZXCNlVg-Uk,Din
world judo championships,2010,2010-09-09,https://en.wikipedia.org/wiki/2010_World_Judo_Championships,San
giro d'italia,2009,2009-05-09,https://en.wikipedia.org/wiki/2009_Giro_d%27Italia,Din
daylight saving time,2008,2008-03-09,https://www.timeanddate.com/time/change/usa/new-york?year=2008,Din
cebit,2006,2006-03-09,http://www.eurekanetwork.org/content/cebit-2006,San
premier league darts,2012,2012-02-09,https://en.wikipedia.org/wiki/2012_Premier_League_Darts,San
wakestock,2011,2011-07-08,http://www.efestivals.co.uk/festivals/wakestock/2011,Din
trooping the colour,2011,2011-06-08,http://www.bbc.co.uk/programmes/p00hgq7k,Din
ncaa division i football championship,2009,2009-01-08,https://en.wikipedia.org/wiki/2009_BCS_National_Championship_Game,San
kennedy center honors ceremony,2010,2010-12-06,http://www.washingtonpost.com/wp-dyn/content/article/2010/12/06/AR2010120603785.html,San
ryder cup,2007,2007-09-06,https://en.wikipedia.org/wiki/2008_Ryder_Cup,San
national football league regular season,2007,2007-09-06,https://en.wikipedia.org/wiki/2007_NFL_season,San
the players championship,2010,2010-05-06,https://en.wikipedia.org/wiki/2010_Players_Championship,San
independent music awards ceremony,2008,2008-03-06,http://www.msopr.com/press-releases/winners-of-the-2008-plug-independent-music-awards-unveiled-at-awards-ceremony-concert-in-new-york-city/,San
italian open,2008,2008-05-05,https://en.wikipedia.org/wiki/2008_Internazionali_BNL_d%27Italia,Din
annie award,2011,2011-02-05,https://en.wikipedia.org/wiki/38th_Annie_Awards,San
consumer electronics show,2006,2006-01-05,https://en.wikipedia.org/wiki/Consumer_Electronics_Show,Din
big 12 championship game,2010,2010-12-04,https://en.wikipedia.org/wiki/2010_Big_12_Championship_Game,Din
acm symposium on user interface software and technology,2009,2009-10-04,http://uist.acm.org/uist2009/,San
new york african film festival,2007,2007-04-04,http://www.blackfilm.com/20070330/features/nyafrican.shtml,Din
new york film critics circle,2012,2012-12-03,https://en.wikipedia.org/wiki/2012_New_York_Film_Critics_Circle_Awards,San
miss earth,2011,2011-12-03,https://en.wikipedia.org/wiki/Miss_Earth_2011,San
arab film festival,2009,2009-12-03,http://www.arabamericanmuseum.org/arabfilmfestival09,Din
doc nyc,2010,2010-11-03,http://www.docnyc.net/pdfs/DOC_NYC_Highlights_brochure-2010.pdf,San
ronde van vlaanderen,2011,2011-04-03,https://nl.wikipedia.org/wiki/Ronde_van_Vlaanderen_2011,San
orange bowl,2006,2006-01-03,https://en.wikipedia.org/wiki/2011_AFL_Grand_Final,San
independent music awards ceremony,2006,2006-02-02,http://www.thefader.com/2005/11/20/vote-in-the-2006-plug-independent-music-awards,San
atp buenos aires,2012,2012-01-02,https://en.wikipedia.org/wiki/2012_ATP_World_Tour,San
rose bowl game,2012,2012-01-02,https://en.wikipedia.org/wiki/2012_Rose_Bowl,Din
eve online fanfest,2007,2007-11-01,https://community.eveonline.com/news/news-channels/eve-online-news/eve-fanfest-2007-approaches-1/,Din
afl grand final,2011,2011-10-01,https://en.wikipedia.org/wiki/2011_AFL_Grand_Final,San
games of the small states of europe,2009,2009-06-01,https://en.wikipedia.org/wiki/2009_Games_of_the_Small_States_of_Europe,Din
taxslayer bowl,2008,2008-01-01,https://en.wikipedia.org/wiki/2008_Gator_Bowl,San
